sim_id;avg_corr_reward;avg_coll_reward;alpha;beta;rho;sigma
0;0.03848152214488848;0.03839492618370508;1;0;0.0;0.0
0;0.04024652770527338;0.0325115743157554;1;0;0.0;0.5
0;0.04201787357852952;0.02660708807156828;1;0;0.0;1.0
0;0.038374292344689434;0.03875235885103521;1;0;0.5;0.0
0;0.04041848388783066;0.03193838704056446;1;0;0.5;0.5
0;0.04253416535644755;0.024886115478508174;1;0;0.5;1.0
0;0.03874538450996087;0.03751538496679707;1;0;1.0;0.0
0;0.04098636081834393;0.030045463938853583;1;0;1.0;0.5
0;0.04326985969400214;0.022433801019992847;1;0;1.0;1.0
1;0.038567098468088534;0.03810967177303823;2;0;0.0;0.0
1;0.040173215160713725;0.032755949464287594;2;0;0.0;0.5
1;0.04211797396115818;0.026273420129472713;2;0;0.0;1.0
1;0.0385542156169219;0.038152614610260364;2;0;0.5;0.0
1;0.0404358993267883;0.031880335577372326;2;0;0.5;0.5
1;0.04271645057723662;0.0242784980758779;2;0;0.5;1.0
1;0.038956881036088783;0.036810396546370715;2;0;1.0;0.0
1;0.041122013691413425;0.02959328769528861;2;0;1.0;0.5
1;0.04363577993941033;0.021214066868632222;2;0;1.0;1.0
